,adjmou,adjqty,adjrev,avg3mou,avg3qty,avg6mou,avg6qty,avgmou,avgqty,avgrev,change_mou,change_rev,eqpdays,months,mou_Mean,mou_cvce_Mean,mou_opkv_Mean,rev_Mean,totcalls,totmou,totrev,churn
5541,539.0,244,256.12,16,9,13.0,8.0,35.93,16.27,17.07,16.75,-0.2625,489.0,17,21.25,6.243333333,1.963333333,10.2625,258,585.0,319.55,0
4276,481.0,126,791.94,0,0,5.0,2.0,20.04,5.25,33.0,5.75,0.0,771.0,26,2.25,0.0,0.066666667,32.49,153,594.0,847.17,0
27606,2268.0,419,334.26,129,21,201.0,39.0,206.18,38.09,30.39,2.0,0.0,362.0,12,130.0,0.0,0.0,29.99,420,2269.0,364.25,1
33439,3830.0,1279,889.98,261,69,369.0,119.0,225.29,75.24,52.35,-64.75,-19.585,777.0,26,239.75,118.2933333,24.09666667,49.575,1313,3964.0,913.96,0
4377,1065.0,454,309.96,262,95,162.0,66.0,118.33,50.44,34.44,133.0,9.51,313.0,10,306.0,220.9266667,81.33333333,63.48,454,1065.0,359.94,1
19945,1352.0,507,495.97,191,68,182.0,68.0,169.0,63.38,62.0,10.0,0.28,269.0,9,194.0,145.5733333,23.28666667,62.27,515,1361.0,585.14,0
7328,4573.0,2022,782.66,221,106,222.0,106.0,240.68,106.42,41.19,8.75,-10.5225,125.0,30,224.25,115.2633333,32.93,43.0125,2030,4618.0,814.77,0
5723,2996.0,1026,604.25,331,95,290.0,87.0,157.68,54.0,31.8,2.25,0.0,593.0,20,331.75,200.6833333,120.86,34.99,1034,3015.0,637.34,1
6885,3134.0,765,1356.18,56,24,68.0,29.0,97.94,23.91,42.38,35.75,0.0,274.0,34,68.25,58.26,18.94666667,37.97,779,3196.0,1420.63,1
32993,5620.0,1766,634.62,880,272,694.0,197.0,562.0,176.6,63.46,-317.25,-58.595,58.0,11,774.25,519.5933333,326.93,94.965,1783,5636.0,700.23,1
19396,5184.0,2258,825.58,347,156,336.0,155.0,272.84,118.84,43.45,52.75,2.97,65.0,20,364.25,134.5166667,84.72666667,54.86,2282,5217.0,893.4,0
32788,2795.0,1703,807.41,77,56,100.0,62.0,133.1,81.1,38.45,59.25,-1.2425,544.0,22,96.75,36.29,25.28,39.4725,1740,2872.0,865.26,1
1139,6315.0,1474,438.42,472,97,467.0,103.0,574.09,134.0,39.86,-47.0,-0.2475,362.0,12,456.0,413.24,325.5033333,39.2375,1474,6315.0,504.03,0
32445,2408.0,983,523.58,278,116,240.0,99.0,172.0,70.21,37.4,-64.5,0.4275,471.0,16,256.5,61.99666667,50.50666667,35.5525,1036,2578.0,570.74,1
19890,5491.0,2822,514.77,622,317,560.0,273.0,549.1,282.2,51.48,-106.0,-1.66,331.0,11,587.0,227.7333333,195.67,44.0,2863,5562.0,583.08,1
8528,130.0,66,62.7,17,10,22.0,11.0,21.67,11.0,10.45,-9.0,-0.09,237.0,8,14.0,3.613333333,3.0333333330000003,10.09,69,137.0,123.11,0
4393,2847.0,1172,384.35,245,104,255.0,105.0,284.7,117.2,38.44,-136.25,-37.3525,362.0,12,199.25,92.45666667,59.03333333,24.0525,1320,3184.0,477.89,0
5956,3971.0,1519,634.5,512,176,418.0,147.0,361.0,138.09,57.68,605.75,172.395,381.0,13,714.25,246.8,256.1966667,124.945,1519,3971.0,714.48,1
10778,2445.0,704,331.21,302,86,350.0,102.0,349.29,100.57,47.32,-140.5,0.0,264.0,9,255.5,163.3766667,120.2633333,34.99,785,2692.0,394.09,0
